ds,y
             2015 09 14,0.00846
             2015 09 12,0.44437
             2015 09 12,0.06348
             2015 09 12,0.0081
             2015 09 10,0.00041
             2015 09 09,0.21335
             2015 09 08,0.10471
             2015 09 06,0.13511
             2015 09 12,0.01171
             2015 09 11,0.09021
             2015 09 11,0.01943
             2015 09 12,0.01661
             2015 09 11,0.00656
             2015 09 10,0.0005
             2015 09 10,0.00426
             2015 09 08,0.04781
             2015 09 10,0.13491
             2015 09 09,0.00449
             2015 09 09,0.00444
             2015 09 09,0.00033
             2015 09 05,0.06328
             2015 09 06,0.01066
             2015 09 05,0.03847
             2015 09 06,0.02528
             2015 09 06,0.02685
             2015 08 22,0.01824
             2015 08 22,0.02009
             2015 08 21,0.02574
             2015 08 21,0.02616
             2015 08 21,0.00177
             2015 08 20,0.01921
             2015 08 19,0.02854
             2015 08 19,0.09929
             2015 08 18,0.02871
             2015 08 17,0.06249
             2015 08 10,0.02192
             2015 08 12,0.31185
             2015 08 12,0.04488
             2015 08 09,0.00256
             2015 08 08,0.15678
             2015 08 13,0.11425
             2015 08 13,0.02192
             2015 08 12,0.00429
             2015 08 11,0.04063
             2015 08 12,0.12365
             2015 08 10,0.1033
             2015 08 12,0.05144
             2015 08 12,0.00543
             2015 08 12,0.0035
             2015 08 10,0.26948
             2015 08 10,0.00393
             2015 08 10,0.0436
             2015 08 11,0.01901
             2015 08 10,0.11562
             2015 08 10,0.01312
             2015 08 09,0.04582
             2015 08 10,0.00118
             2015 08 10,0.01283
             2015 08 06,0.01373
             2015 08 07,0.0002
             2015 08 03,0.18027
             2015 08 03,0.11865
             2015 07 26,0.13194
             2015 07 23,0.02592
             2015 07 26,0.07655
             2015 07 24,0.02489
             2015 07 23,0.04016
             2015 07 23,0.05492
             2015 07 23,0.09827
             2015 07 23,0.00086
             2015 07 19,0.25331
             2015 07 19,0.02894
             2015 07 19,0.13062
             2015 07 19,0.05054
             2015 07 18,0.03368
             2015 07 18,0.00091
             2015 07 18,0.08473
             2015 07 14,0.10853
             2015 07 12,0.10269
             2015 07 15,0.02966
             2015 07 12,0.01001
             2015 07 12,0.05326
             2015 07 12,0.00378
             2015 07 08,0.18956
             2015 07 09,0.04851
             2015 07 07,0.00406
             2015 07 06,0.05013
             2015 07 03,0.06834
             2015 06 22,0.00884
             2015 06 29,0.02821
             2015 06 29,0.00559
             2015 06 28,0.13535
             2015 06 27,0.03916
             2015 06 27,0.05568
             2015 06 24,0.34245
             2015 06 24,0.21668
             2015 06 22,0.23447
             2015 06 22,0.24086
             2015 06 21,0.11044
             2015 06 19,0.14287
             2015 06 20,0.02256
             2015 06 20,0.01758
             2015 06 19,0.00053
             2015 06 18,0.02891
             2015 06 18,0.00652
             2015 06 17,0.00992
             2015 06 16,0.00392
             2015 06 15,0.17211
             2015 06 15,0.0875
             2015 06 15,0.03334
             2015 06 15,0.15588
             2015 06 14,0.03268
             2015 06 13,0.10407
             2015 06 15,0.00108
             2015 06 13,0.00978
             2015 06 12,0.08584
             2015 06 12,0.05454
             2015 06 13,0.00566
             2015 06 12,0.02324
             2015 06 11,0.03053
             2015 06 07,0.01119
             2015 06 06,0.01443
             2015 06 06,0.00307
             2015 06 06,0.01277
             2015 06 07,0.00098
             2015 05 26,0.16218
             2015 05 26,0.0021
             2015 05 23,0.01533
             2015 05 23,0.00049
             2015 05 22,0.02464
             2015 05 21,0.06571
             2015 05 21,0.11653
             2015 05 20,0.01829
             2015 05 20,0.07063
             2015 05 20,0.20749
             2015 05 20,0.21739
             2015 05 27,0.01491
             2015 05 26,0.13963
             2015 05 26,0.03602
             2015 05 26,0.0536
             2015 05 26,0.00354
             2015 05 25,0.24119
             2015 05 25,0.00727
             2015 05 25,0.00228
             2015 05 25,0.00115
             2015 05 24,0.11624
             2015 05 24,0.00317
             2015 05 24,0.00036
             2015 05 22,0.01456
             2015 05 22,0.00581
             2015 05 22,0.01092
             2015 05 22,0.07559
             2015 05 20,0.12073
             2015 05 22,0.03763
             2015 05 22,0.02931
             2015 05 21,0.00565
             2015 05 21,0.19508
             2015 05 18,0.01223
             2015 05 22,0.01395
             2015 05 21,0.01132
             2015 05 20,0.03605
             2015 05 18,0.01634
             2015 05 18,0.06119
             2015 05 18,0.01676
             2015 05 19,0.00075
             2015 05 19,0.08834
             2015 05 18,0.00962
             2015 05 18,0.05066
             2015 05 13,0.00601
             2015 05 13,0.17598
             2015 05 13,0.04378
             2015 05 14,0.0189
             2015 05 13,0.08037
             2015 05 13,0.06543
             2015 05 12,0.18713
             2015 05 12,0.00139
             2015 05 11,0.02237
             2015 05 12,0.00002
             2015 05 10,0.03725
             2015 05 10,0.00884
             2015 05 08,0.00255
             2015 05 07,0.00997
             2015 05 07,0.0078
             2015 04 25,0.00404
             2015 04 19,0.25835
             2015 04 18,0.0081
             2015 04 18,0.02419
             2015 04 18,0.15589
             2015 04 18,0.04898
             2015 04 18,0.3191
             2015 04 18,0.02701
             2015 04 18,0.02989
             2015 04 16,0.0013
             2015 04 30,0.00046
             2015 04 30,0.02761
             2015 04 23,0.00273
             2015 04 30,0.03613
             2015 04 29,0.0353
             2015 04 29,0.00329
             2015 04 28,0.18836
             2015 04 28,0.01562
             2015 04 23,0.04714
             2015 04 24,0.01302
             2015 04 23,0.03163
             2015 04 23,0.00342
             2015 04 19,0.20419
             2015 04 18,0.01022
             2015 04 18,0.10048
             2015 04 18,0.24557
             2015 04 21,0.01901
             2015 04 21,0.0031
             2015 04 18,0.0261
             2015 04 18,0.21734
             2015 04 20,0.01464
             2015 04 18,0.02072
             2015 04 18,0.06368
             2015 04 18,0.02873
             2015 04 18,0.03953
             2015 04 18,0.2463
             2015 04 19,0.03319
             2015 04 18,0.01094
             2015 04 18,0.04356
             2015 04 17,0.03087
             2015 04 18,0.00245
             2015 04 18,0.00045
             2015 04 17,0.04608
             2015 04 16,0.02796
             2015 04 16,0.08064
             2015 04 11,0.23539
             2015 04 15,0.00104
             2015 04 15,0.04451
             2015 04 13,0.03328
             2015 04 15,0.00018
             2015 04 10,0.00747
             2015 04 12,0.06651
             2015 04 13,0.02712
             2015 04 12,0.01007
             2015 04 10,0.08233
             2015 04 11,0.00162
             2015 04 11,0.01608
             2015 04 10,0.02023
             2015 04 01,0.17241
             2015 04 10,0.03241
             2015 04 11,0.00772
             2015 04 11,0.00002
             2015 04 11,0.00527
             2015 04 11,0.0176
             2015 04 10,0.0224
             2015 04 10,0.02268
             2015 04 11,0.00019
             2015 04 09,0.04934
             2015 04 09,0.00673
             2015 04 09,0.00659
             2015 04 07,0.31504
             2015 03 28,0.00163
             2015 03 23,0.02012
             2015 03 22,0.01337
             2015 03 18,0.0052
             2015 03 17,0.00044
             2015 03 27,0.05305
             2015 03 28,0.03717
             2015 03 31,0.2696
             2015 03 29,0.0412
             2015 03 28,0.00282
             2015 03 27,0.09741
             2015 03 28,0.00963
             2015 03 27,0.16436
             2015 03 29,0.09452
             2015 03 28,0.01956
             2015 03 16,0.00179
             2015 03 25,0.06381
             2015 03 28,0.03236
             2015 03 27,0.01093
             2015 03 26,0.12673
             2015 03 25,0.00356
             2015 03 25,0.3529
             2015 03 24,0.03887
             2015 03 24,0.34272
             2015 03 21,0.0297
             2015 03 17,0.0274
             2015 03 25,0.00094
             2015 03 25,0.00811
             2015 03 24,0.09078
             2015 03 24,0.0428
             2015 03 24,0.00446
             2015 03 23,0.03672
             2015 03 22,0.22174
             2015 03 24,0.04123
             2015 03 23,0.0363
             2015 03 22,0.00546
             2015 03 21,0.07756
             2015 03 21,0.29267
             2015 03 23,0.07512
             2015 03 23,0.01226
             2015 03 21,0.12108
             2015 03 23,0.0101
             2015 03 23,0.00019
             2015 03 21,0.26035
             2015 03 20,0.2572
             2015 03 20,0.12731
             2015 03 22,0.00351
             2015 03 22,0.023
             2015 03 21,0.00481
             2015 03 21,0.02958
             2015 03 20,0.04415
             2015 03 19,0.01478
             2015 03 19,0.02542
             2015 03 18,0.09229
             2015 03 18,0.08004
             2015 03 17,0.02087
             2015 03 21,0.01918
             2015 03 18,0.04791
             2015 03 20,0.00624
             2015 03 20,0.0621
             2015 03 18,0.02071
             2015 03 17,0.02151
             2015 03 17,0.03614
             2015 03 17,0.01686
             2015 03 16,0.02492
             2015 03 18,0.29345
             2015 03 17,0.00313
             2015 03 17,0.01091
             2015 03 16,0.03671
             2015 03 16,0.02312
             2015 03 16,0.00427
             2015 03 16,0.00453
             2015 03 16,0.02885
             2015 03 14,0.01019
             2015 03 15,0.04984
             2015 03 15,0.11998
             2015 03 14,0.01601
             2015 03 15,0.00023
             2015 03 15,0.03164
             2015 03 14,0.13746
             2015 03 13,0.02413
             2015 03 14,0.00399
             2015 03 11,0.00045
             2015 03 11,0.08474
             2015 03 11,0.00629
             2015 03 11,0.00335
             2015 03 11,0.00677
             2015 03 11,0.00081
             2015 03 10,0.06735
             2015 03 10,0.00108
             2015 03 09,0.02157
             2015 03 10,0.0063
             2015 03 09,0.01198
             2015 03 09,0.00588
             2015 02 23,0.04254
             2015 02 24,0.08125
             2015 02 23,0.02786
             2015 02 27,0.00739
             2015 02 27,0.00654
             2015 02 26,0.01952
             2015 02 26,0.03026
             2015 02 23,0.00986
             2015 02 20,0.01485
             2015 02 20,0.00538
             2015 02 26,0.00147
             2015 02 24,0.11015
             2015 02 24,0.03011
             2015 02 25,0.01887
             2015 02 25,0.03003
             2015 02 25,0.01145
             2015 02 25,0.005
             2015 02 24,0.01912
             2015 02 23,0.03508
             2015 02 23,0.01753
             2015 02 22,0.04297
             2015 02 16,0.153
             2015 02 20,0.00817
             2015 02 19,0.12476
             2015 02 19,0.07667
             2015 02 18,0.13392
             2015 02 20,0.01448
             2015 02 19,0.12993
             2015 02 19,0.01558
             2015 02 19,0.03284
             2015 02 18,0.04282
             2015 02 19,0.02249
             2015 02 17,0.00142
             2015 02 19,0.00106
             2015 02 19,0.00705
             2015 02 18,0.05817
             2015 02 17,0.06417
             2015 02 17,0.13919
             2015 02 18,0.00814
             2015 02 18,0.0499
             2015 02 17,0.1574
             2015 02 18,0.00697
             2015 02 18,0.00038
             2015 02 17,0.09873
             2015 02 17,0.04387
             2015 02 17,0.02534
             2015 02 16,0.0031
             2015 02 17,0.00242
             2015 02 13,0.01382
             2015 02 12,0.00786
             2015 02 11,0.13245
             2015 02 12,0.00635
             2015 02 13,0.00984
             2015 02 13,0.06842
             2015 02 13,0.00052
             2015 02 13,0.00474
             2015 02 12,0.11874
             2015 02 13,0.01994
             2015 02 13,0.02153
             2015 02 13,0.00208
             2015 02 13,0.00393
             2015 02 13,0.01706
             2015 02 12,0.0008
             2015 02 11,0.00388
             2015 02 12,0.02783
             2015 02 11,0.02001
             2015 02 11,0.03163
             2015 02 10,0.06521
             2015 02 10,0.05985
             2015 02 10,0.0441
             2015 02 10,0.00835
             2015 02 10,0.0036
             2015 02 09,0.03999
             2015 02 08,0.13734
             2015 02 10,0.00549
             2015 02 08,0.00505
             2015 02 07,0.0131
             2015 01 20,0.01737
             2015 01 19,0.00824
             2015 01 30,0.13956
             2015 01 28,0.00021
             2015 01 25,0.17724
             2015 01 29,0.07853
             2015 01 19,0.04644
             2015 01 29,0.08358
             2015 01 29,0.05538
             2015 01 27,0.33281
             2015 01 26,0.05508
             2015 01 27,0.00055
             2015 01 26,0.00694
             2015 01 27,0.01219
             2015 01 23,0.09376
             2015 01 27,0.05628
             2015 01 26,0.00439
             2015 01 21,0.00064
             2015 01 26,0.01062
             2015 01 20,0.39967
             2015 01 22,0.06876
             2015 01 23,0.37489
             2015 01 17,0.06802
             2015 01 24,0.01732
             2015 01 20,0.05704
             2015 01 21,0.05951
             2015 01 23,0.05834
             2015 01 21,0.00397
             2015 01 20,0.21326
             2015 01 22,0.02475
             2015 01 20,0.55673
             2015 01 20,0.00793
             2015 01 22,0.01935
             2015 01 20,0.02174
             2015 01 21,0.012
             2015 01 20,0.03427
             2015 01 18,0.04897
             2015 01 18,0.0239
             2015 01 18,0.02864
             2015 01 19,0.0281
             2015 01 19,0.00213
             2015 01 18,0.04872
             2015 01 17,0.06766
             2015 01 17,0.01321
             2015 01 16,0.22217
             2015 01 16,0.01525
             2015 01 18,0.00246
             2015 01 18,0.00573
             2015 01 18,0.00533
             2015 01 17,0.03228
             2015 01 17,0.0219
             2015 01 17,0.00227
             2015 01 17,0.0005
             2015 01 17,0.06835
             2015 01 17,0.00199
             2015 01 16,0.0132
             2015 01 16,0.07776
             2015 01 16,0.04484
             2015 01 16,0.00008
             2015 01 16,0.03327
             2015 01 15,0.05057
             2015 01 15,0.21992
             2015 01 15,0.13454
             2015 01 15,0.51761
             2015 01 15,0.01743
             2015 01 15,0.00053
             2015 01 15,0.00583
             2015 01 15,0.00584
             2015 01 15,0.03187
             2015 01 14,0.09065
             2015 01 13,0.12029
             2015 01 15,0.01051
             2015 01 15,0.00929
             2015 01 13,0.02619
             2015 01 11,0.00256
             2015 01 15,0.00062
             2015 01 15,0.01026
             2015 01 12,0.13459
             2015 01 11,0.01449
             2014 12 30,0.00368
             2014 12 29,0.13328
             2014 12 29,0.30353
             2014 12 30,0.26801
             2014 12 30,0.07896
             2014 12 26,0.3005
             2014 12 31,0.00336
             2014 12 30,0.03519
             2014 12 29,0.11637
             2014 12 30,0.00134
             2014 12 29,0.07979
             2014 12 29,0.00539
             2014 12 29,0.02394
             2014 12 29,0.01872
             2014 12 27,0.0231
             2014 12 27,0.02554
             2014 12 28,0.01675
             2014 12 28,0.03453
             2014 12 27,0.00676
             2014 12 28,0.00629
             2014 12 28,0.02139
             2014 12 28,0.00714
             2014 12 27,0.00243
             2014 12 26,0.07206
             2014 12 28,0.00413
             2014 12 27,0.02798
             2014 12 22,0.12069
             2014 12 24,0.1279
             2014 12 27,0.0003
             2014 12 24,0.01631
             2014 12 24,0.10406
             2014 12 23,0.01297
             2014 12 24,0.01148
             2014 12 23,0.03159
             2014 12 20,0.06367
             2014 12 23,0.00927
             2014 12 21,0.00513
             2014 12 21,0.00884
             2014 12 21,0.05716
             2014 12 20,0.02393
             2014 12 20,0.04684
             2014 12 20,0.01892
             2014 12 18,0.19729
             2014 12 16,0.05675
             2014 12 16,0.00424
             2014 12 13,0.00257
             2014 12 12,0.11768
             2014 12 11,0.47501
             2014 12 12,0.08283
             2014 12 15,0.00458
             2014 12 06,0.31239
             2014 12 12,0.00474
             2014 12 12,0.00969
             2014 12 11,0.0022
             2014 12 10,0.01129
             2014 12 08,0.11931
             2014 12 10,0.01724
             2014 12 06,0.16112
             2014 12 03,0.02021
             2014 11 28,0.07797
             2014 11 28,0.04053
             2014 11 25,0.00193
             2014 11 30,0.0272
             2014 11 23,0.03506
             2014 11 21,0.01301
             2014 11 29,0.00519
             2014 11 29,0.01761
             2014 11 28,0.00665
             2014 11 28,0.02165
             2014 11 26,0.05882
             2014 11 28,0.00196
             2014 11 28,0.02302
             2014 11 27,0.04587
             2014 11 27,0.01071
             2014 11 25,0.01184
             2014 11 25,0.28975
             2014 11 24,0.02615
             2014 11 24,0.13472
             2014 11 22,0.04614
             2014 11 27,0.0029
             2014 11 25,0.12882
             2014 11 24,0.03053
             2014 11 22,0.00645
             2014 11 25,0.03988
             2014 11 24,0.00203
             2014 11 24,0.03906
             2014 11 23,0.00021
             2014 11 24,0.00121
             2014 11 24,0.05053
             2014 11 23,0.01478
             2014 11 21,0.08715
             2014 11 22,0.03162
             2014 11 23,0.01508
             2014 11 22,0.00247
             2014 11 22,0.00073
             2014 11 22,0.00462
             2014 11 20,0.01137
             2014 11 20,0.05293
             2014 11 21,0.02894
             2014 11 21,0.02837
             2014 11 21,0.00828
             2014 11 19,0.00136
             2014 11 19,0.01002
             2014 11 19,0.00397
             2014 11 18,0.06014
             2014 11 18,0.00751
             2014 11 17,0.02447
             2014 11 17,0.05124
             2014 11 17,0.00073
             2014 11 17,0.00669
             2014 11 17,0.01099
             2014 11 16,0.00678
             2014 11 16,0.00459
             2014 11 16,0.00247
             2014 11 14,0.02764
             2014 11 15,0.03466
             2014 11 11,0.167
             2014 11 11,0.08341
             2014 11 11,0.01775
             2014 11 09,0.09527
             2014 11 09,0.01357
             2014 11 04,0.05239
             2014 10 20,0.09835
             2014 10 30,0.09945
             2014 10 30,0.255
             2014 10 30,0.23055
             2014 10 30,0.02247
             2014 10 30,0.06325
             2014 10 30,0.05271
             2014 10 30,0.00796
             2014 10 30,0.01193
             2014 10 28,0.27463
             2014 10 30,0.00939
             2014 10 25,0.16157
             2014 10 29,0.00012
             2014 10 27,0.00063
             2014 10 27,0.00081
             2014 10 29,0.07683
             2014 10 29,0.00601
             2014 10 29,0.0129
             2014 10 29,0.01622
             2014 10 27,0.02888
             2014 10 26,0.04774
             2014 10 27,0.01083
             2014 10 26,0.04555
             2014 10 26,0.012
             2014 10 24,0.23413
             2014 10 25,0.00937
             2014 10 25,0.02832
             2014 10 25,0.08483
             2014 10 25,0.00247
             2014 10 25,0.00916
             2014 10 25,0.00118
             2014 10 24,0.0247
             2014 10 24,0.00855
             2014 10 24,0.00038
             2014 10 24,0.03863
             2014 10 24,0.01671
             2014 10 24,0.06412
             2014 10 22,0.03616
             2014 10 24,0.01895
             2014 10 25,0.00031
             2014 10 23,0.00227
             2014 10 23,0.01804
             2014 10 23,0.0489
             2014 10 22,0.0094
             2014 10 22,0.02897
             2014 10 22,0.10172
             2014 10 21,0.00318
             2014 10 21,0.00881
             2014 10 20,0.03128
             2014 10 18,0.03781
             2014 10 17,0.03334
             2014 10 15,0.04401
             2014 10 15,0.10615
             2014 10 05,0.13181
             2014 10 10,0.06148
             2014 10 14,0.25201
             2014 10 14,0.01203
             2014 10 13,0.0401
             2014 10 14,0.00603
             2014 10 13,0.01607
             2014 10 01,0.00518
             2014 10 07,0.05438
             2014 10 03,0.00548
             2014 10 02,0.01139
             2014 10 02,0.12373
             2014 10 02,0.00795
             2014 10 01,0.1924
             2014 10 01,0.07795
             2014 10 01,0.01114
             2014 10 01,0.00691
             2014 10 01,0.04907
             2014 10 01,0.0295
             2014 10 02,0.00845
             2014 10 02,0.00027
             2014 10 01,0.00483
             2014 09 30,0.03713
             2014 09 30,0.00064
             2014 09 30,0.00212
             2014 09 29,0.12244
             2014 09 23,0.14907
             2014 09 27,0.06392
             2014 09 24,0.02288
             2014 09 25,0.0425
             2014 09 25,0.00094
             2014 09 24,0.05054
             2014 09 25,0.00636
             2014 09 24,0.12516
             2014 09 23,0.06593
             2014 09 23,0.0289
             2014 09 23,0.00408
             2014 09 24,0.00092
             2014 09 24,0.00514
             2014 09 23,0.00392
             2014 09 24,0.00279
             2014 09 24,0.00501
             2014 09 23,0.01656
             2014 09 22,0.00349
             2014 09 19,0.00048
             2014 09 20,0.04758
             2014 09 20,0.0062
             2014 09 20,0.08632
             2014 09 17,0.0061
             2014 09 20,0.00124
             2014 09 20,0.02029
             2014 09 20,0.0026
             2014 09 19,0.00641
             2014 09 19,0.06278
             2014 09 18,0.01214
             2014 09 17,0.01254
             2014 09 18,0.02504
             2014 09 20,0.00023
             2014 09 14,0.01463
             2014 09 12,0.00233
             2014 09 12,0.00538
             2014 09 11,0.02418
             2014 09 02,0.10657
             2014 09 12,0.01475
             2014 09 07,0.13073
             2014 09 02,0.03782
             2014 09 03,0.00635
             2014 09 01,0.03104
             2014 09 01,0.00039
             2014 09 01,0.00022
             2014 08 31,0.18632
             2014 08 29,0.00445
             2014 08 30,0.20974
             2014 08 31,0.00994
             2014 08 31,0.15213
             2014 08 28,0.00297
             2014 08 31,0.00985
             2014 08 25,0.31111
             2014 08 31,0.09022
             2014 08 28,0.01897
             2014 08 30,0.18248
             2014 08 29,0.00142
             2014 08 31,0.02885
             2014 08 31,0.01341
             2014 08 30,0.00151
             2014 08 28,0.00914
             2014 08 25,0.13616
             2014 08 22,0.12582
             2014 08 26,0.00347
             2014 08 25,0.03994
             2014 08 23,0.29776
             2014 08 22,0.0004
             2014 08 20,0.04799
             2014 08 20,0.08487
             2014 08 18,0.08269
             2014 08 27,0.01058
             2014 08 23,0.06685
             2014 08 23,0.07372
             2014 08 27,0.02391
             2014 08 20,0.01391
             2014 08 22,0.01203
             2014 08 22,0.09465
             2014 08 22,0.13532
             2014 08 25,0.01145
             2014 08 23,0.1556
             2014 08 24,0.00058
             2014 08 22,0.01822
             2014 08 22,0.00209
             2014 08 20,0.00365
             2014 08 21,0.0096
             2014 08 20,0.00122
             2014 08 20,0.01084
             2014 08 19,0.05501
             2014 08 19,0.04113
             2014 08 18,0.04681
             2014 08 14,0.00059
             2014 08 13,0.01793
             2014 08 07,0.07651
             2014 08 04,0.20333
             2014 08 03,0.16851
             2014 08 03,0.09705
             2014 08 04,0.21977
             2014 08 04,0.02274
             2014 07 28,0.04403
             2014 07 28,0.00898
             2014 07 25,0.00311
             2014 07 27,0.03072
             2014 07 28,0.13229
             2014 07 28,0.22848
             2014 07 31,0.01918
             2014 07 25,0.0118
             2014 07 29,0.03005
             2014 07 29,0.21944
             2014 07 31,0.02093
             2014 07 29,0.03376
             2014 07 29,0.00486
             2014 07 28,0.03819
             2014 07 28,0.01703
             2014 07 26,0.0299
             2014 07 27,0.03185
             2014 07 27,0.0327
             2014 07 27,0.00006
             2014 07 25,0.02703
             2014 07 25,0.00267
             2014 07 25,0.00126
             2014 07 25,0.05893
             2014 07 25,0.00068
             2014 07 21,0.04429
             2014 07 21,0.06779
             2014 07 07,0.01679
             2014 07 03,0.00923
             2014 07 01,0.06882
             2014 07 02,0.06129
             2014 07 13,0.19973
             2014 07 03,0.05609
             2014 07 10,0.00723
             2014 07 01,0.01816
             2014 07 07,0.0353
             2014 07 03,0.0445
             2014 07 03,0.09408
             2014 07 01,0.21479
             2014 07 03,0.04971
             2014 07 02,0.01759
             2014 06 30,0.00937
             2014 06 28,0.01249
             2014 06 28,0.01767
             2014 06 27,0.00899
             2014 06 27,0.07126
             2014 06 30,0.12
             2014 06 29,0.0119
             2014 06 29,0.01295
             2014 06 29,0.02997
             2014 06 30,0.0611
             2014 06 29,0.01638
             2014 06 28,0.16002
             2014 06 27,0.06866
             2014 06 28,0.09719
             2014 06 27,0.13285
             2014 06 25,0.03605
             2014 06 25,0.28994
             2014 06 24,0.07676
             2014 06 24,0.00584
             2014 06 21,0.00481
             2014 06 24,0.00107
             2014 06 23,0.02363
             2014 06 23,0.00656
             2014 06 22,0.11188
             2014 06 21,0.00937
             2014 06 21,0.04592
             2014 06 20,0.0225
             2014 06 08,0.09796
             2014 06 05,0.02578
             2014 06 05,0.00128
             2014 06 03,0.07444
             2014 06 02,0.19673
             2014 06 01,0.2482
             2014 06 02,0.00529
             2014 05 31,0.0436
             2014 05 30,0.01931
             2014 05 31,0.02141
             2014 05 28,0.03744
             2014 05 27,0.09835
             2014 05 27,0.22083
             2014 05 21,0.00913
             2014 05 28,0.00145
             2014 05 28,0.11524
             2014 05 28,0.00848
             2014 05 25,0.02513
             2014 05 23,0.12668
             2014 05 28,0.01066
             2014 05 28,0.00548
             2014 05 26,0.15209
             2014 05 27,0.00364
             2014 05 25,0.01056
             2014 05 24,0.00206
             2014 05 24,0.13433
             2014 05 27,0.00041
             2014 05 24,0.00299
             2014 05 20,0.01799
             2014 05 24,0.00265
             2014 05 20,0.04714
             2014 05 21,0.00157
             2014 05 19,0.03415
             2014 05 21,0.02712
             2014 05 17,0.01943
             2014 05 05,0.29657
             2014 05 05,0.0106
             2014 05 05,0.01877
             2014 05 05,0.01326
             2014 05 02,0.00387
             2014 05 02,0.14161
             2014 05 02,0.02767
             2014 05 11,0.28189
             2014 05 10,0.41798
             2014 05 10,0.00951
             2014 05 07,0.04326
             2014 05 09,0.01932
             2014 05 10,0.00019
             2014 05 07,0.2449
             2014 05 07,0.03044
             2014 05 09,0.03125
             2014 05 07,0.02301
             2014 05 07,0.00652
             2014 05 07,0.00336
             2014 05 05,0.06016
             2014 05 05,0.01184
             2014 05 04,0.01555
             2014 05 06,0.0387
             2014 05 06,0.00076
             2014 05 04,0.01294
             2014 05 03,0.04375
             2014 05 03,0.05199
             2014 05 02,0.05905
             2014 05 03,0.01312
             2014 05 02,0.07971
             2014 05 01,0.14928
             2014 05 02,0.0061
             2014 04 24,0.01916
             2014 04 29,0.07362
             2014 04 29,0.02128
             2014 04 28,0.01288
             2014 04 28,0.09146
             2014 04 28,0.00027
             2014 04 28,0.0484
             2014 04 28,0.00178
             2014 04 28,0.02204
             2014 04 28,0.0914
             2014 04 28,0.00391
             2014 04 28,0.01179
             2014 04 28,0.03636
             2014 04 26,0.00803
             2014 04 25,0.02022
             2014 04 25,0.11842
             2014 04 25,0.00006
             2014 04 24,0.07969
             2014 04 24,0.25969
             2014 04 24,0.00352
             2014 04 24,0.00614
             2014 04 24,0.0029
             2014 04 24,0.07848
             2014 04 24,0.01285
             2014 04 24,0.01237
             2014 04 24,0.02577
             2014 04 24,0.00272
             2014 04 23,0.02811
             2014 04 23,0.02485
             2014 04 23,0.14833
             2014 04 23,0.1319
             2014 04 23,0.09312
             2014 04 23,0.01112
             2014 04 23,0.1662
             2014 04 23,0.00127
             2014 04 23,0.00638
             2014 04 23,0.00088
             2014 04 23,0.06529
             2014 04 25,0.0425
             2014 04 30,0.06124
             2014 04 29,0.1022
             2014 04 29,0.10227
             2014 04 28,0.07688
             2014 04 28,0.20362
             2014 04 24,0.01101
             2014 04 30,0.05675
             2014 04 28,0.29395
             2014 04 30,0.03706
             2014 04 30,0.01329
             2014 04 30,0.01443
             2014 04 29,0.0004
             2014 04 28,0.05747
             2014 04 29,0.03199
             2014 04 28,0.00264
             2014 04 28,0.0452
             2014 04 28,0.00393
             2014 04 25,0.09046
             2014 04 25,0.09432
             2014 04 23,0.06757
             2014 04 28,0.00155
             2014 04 27,0.00943
             2014 04 25,0.00898
             2014 04 26,0.05495
             2014 04 26,0.12622
             2014 04 25,0.04373
             2014 04 23,0.00763
             2014 04 25,0.02197
             2014 04 23,0.00048
             2014 04 24,0.01261
             2014 04 24,0.02362
             2014 04 22,0.01428
             2014 04 22,0.04954
             2014 04 22,0.43
             2014 04 24,0.00164
             2014 04 23,0.01112
             2014 04 23,0.00973
             2014 04 21,0.06619
             2014 04 21,0.05352
             2014 04 23,0.00319
             2014 04 22,0.00051
             2014 04 22,0.00716
             2014 04 21,0.00092
             2014 04 21,0.00716
             2014 04 20,0.00107
             2014 04 20,0.00389
             2014 04 08,0.06207
             2014 04 09,0.0648
             2014 04 09,0.00777
             2014 04 04,0.00671
             2014 04 08,0.01228
             2014 04 07,0.0068
             2014 04 04,0.00142
             2014 04 07,0.00288
             2014 04 06,0.08793
             2014 04 06,0.0208
             2014 04 06,0.12292
             2014 04 05,0.03791
             2014 04 05,0.24503
             2014 04 06,0.01035
             2014 04 04,0.02922
             2014 04 04,0.01189
             2014 04 04,0.02392
             2014 04 04,0.01596
             2014 04 03,0.05829
             2014 04 02,0.11224
             2014 04 02,0.00243
             2014 04 01,0.0146
             2014 04 01,0.00191
             2014 04 01,0.0186
             2014 03 31,0.08266
             2014 03 31,0.00313
             2014 03 30,0.02564
             2014 03 29,0.01847
             2014 03 27,0.071
             2014 03 28,0.01639
             2014 03 28,0.03512
             2014 03 28,0.0018
             2014 03 27,0.02211
             2014 03 26,0.15555
             2014 03 25,0.15033
             2014 03 24,0.1396
             2014 03 24,0.13491
             2014 03 25,0.00105
             2014 03 25,0.07683
             2014 03 24,0.01269
             2014 03 23,0.00388
             2014 03 23,0.00305
             2014 03 22,0.09262
             2014 03 22,0.00271
             2014 03 21,0.02116
             2014 03 20,0.00059
             2014 03 20,0.00944
             2014 03 15,0.02659
             2014 03 12,0.06657
             2014 03 12,0.14272
             2014 03 12,0.26321
             2014 03 11,0.1162
             2014 03 11,0.00134
             2014 03 12,0.00422
             2014 03 11,0.12349
             2014 03 11,0.00102
