ds,y
             2017 03 07,0.02019
             2017 03 06,0.07034
             2017 03 06,0.01269
             2017 03 05,0.02467
             2017 03 05,0.07229
             2017 03 05,0.11595
             2017 03 05,0.005
             2017 03 05,0.00685
             2017 03 04,0.1067
             2017 03 05,0.0023
             2017 03 04,0.00379
             2017 03 04,0.00292
             2017 03 03,0.12146
             2017 03 02,0.00625
             2017 03 02,0.01298
             2017 03 02,0.01161
             2017 03 02,0.01214
             2017 03 02,0.11062
             2017 03 02,0.01091
             2017 03 02,0.00006
             2017 02 24,0.04946
             2017 02 22,0.01682
             2017 02 22,0.0054
             2017 02 27,0.00226
             2017 02 27,0.00586
             2017 02 27,0.00144
             2017 02 25,0.03615
             2017 02 22,0.0557
             2017 02 22,0.03652
             2017 02 27,0.00597
             2017 02 25,0.11329
             2017 02 25,0.00289
             2017 02 25,0.0515
             2017 02 25,0.01978
             2017 02 25,0.00245
             2017 02 25,0.06499
             2017 02 25,0.00265
             2017 02 24,0.10983
             2017 02 22,0.21979
             2017 02 22,0.05195
             2017 02 21,0.00287
             2017 02 24,0.00523
             2017 02 23,0.00293
             2017 02 22,0.05083
             2017 02 22,0.16167
             2017 02 21,0.02592
             2017 02 21,0.01283
             2017 02 16,0.00087
             2017 02 16,0.11855
             2017 02 22,0.0139
             2017 02 22,0.04633
             2017 02 22,0.00311
             2017 02 22,0.01788
             2017 02 22,0.00148
             2017 02 22,0.0252
             2017 02 21,0.03844
             2017 02 21,0.01504
             2017 02 21,0.00714
             2017 02 21,0.00636
             2017 02 21,0.00097
             2017 02 18,0.00514
             2017 02 17,0.22774
             2017 02 17,0.00456
             2017 02 16,0.03169
             2017 02 16,0.00507
             2017 02 16,0.02394
             2017 02 16,0.00008
             2017 02 04,0.03934
             2017 02 01,0.0021
             2017 02 04,0.00583
             2017 02 09,0.33011
             2017 02 07,0.01113
             2017 02 14,0.00352
             2017 02 03,0.0647
             2017 02 08,0.00536
             2017 02 05,0.00924
             2017 02 02,0.17516
             2017 02 03,0.02251
             2017 02 03,0.06012
             2017 02 03,0.00996
             2017 02 02,0.01033
             2017 02 02,0.09572
             2017 02 02,0.10768
             2017 02 02,0.29873
             2017 02 01,0.00704
             2017 02 02,0.00864
             2017 02 01,0.10971
             2017 02 01,0.02098
             2017 02 01,0.1784
             2017 01 31,0.01656
             2017 01 27,0.00261
             2017 01 31,0.02736
             2017 01 30,0.17301
             2017 01 31,0.31126
             2017 01 31,0.02788
             2017 01 26,0.00044
             2017 01 31,0.01481
             2017 01 31,0.06778
             2017 01 31,0.01867
             2017 01 30,0.02675
             2017 01 28,0.01734
             2017 01 28,0.00315
             2017 01 26,0.01984
             2017 01 31,0.01181
             2017 01 30,0.29745
             2017 01 30,0.03151
             2017 01 28,0.21924
             2017 01 28,0.00376
             2017 01 28,0.01882
             2017 01 29,0.04849
             2017 01 28,0.09043
             2017 01 29,0.00655
             2017 01 27,0.01461
             2017 01 30,0.0176
             2017 01 29,0.00113
             2017 01 29,0.02249
             2017 01 29,0.15509
             2017 01 28,0.02403
             2017 01 26,0.00179
             2017 01 28,0.02617
             2017 01 28,0.01982
             2017 01 28,0.10468
             2017 01 27,0.02403
             2017 01 27,0.112
             2017 01 27,0.06566
             2017 01 26,0.14126
             2017 01 28,0.00176
             2017 01 28,0.00998
             2017 01 28,0.03691
             2017 01 28,0.00456
             2017 01 28,0.00003
             2017 01 27,0.00075
             2017 01 29,0.00265
             2017 01 29,0.00035
             2017 01 28,0.00615
             2017 01 27,0.00924
             2017 01 27,0.00928
             2017 01 27,0.10417
             2017 01 27,0.06369
             2017 01 27,0.00072
             2017 01 27,0.03806
             2017 01 27,0.04287
             2017 01 26,0.01589
             2017 01 26,0.06523
             2017 01 26,0.03316
             2017 01 26,0.05383
             2017 01 26,0.01317
             2017 01 26,0.00337
             2017 01 26,0.07979
             2017 01 26,0.00463
             2017 01 26,0.0176
             2017 01 26,0.01234
             2017 01 25,0.0798
             2017 01 24,0.0162
             2017 01 25,0.00522
             2017 01 20,0.09196
             2017 01 20,0.00173
             2017 01 21,0.0079
             2017 01 20,0.01911
             2017 01 19,0.13023
             2017 01 20,0.0013
             2017 01 20,0.00065
             2017 01 19,0.01123
             2017 01 19,0.0273
             2017 01 19,0.02291
             2017 01 18,0.01294
             2017 01 17,0.0356
             2017 01 05,0.02819
             2017 01 03,0.00046
             2017 01 03,0.00421
             2017 01 03,0.00301
             2017 01 10,0.38917
             2017 01 14,0.22563
             2017 01 12,0.02727
             2017 01 09,0.00614
             2017 01 07,0.03239
             2017 01 07,0.15088
             2017 01 07,0.06823
             2017 01 07,0.05104
             2017 01 03,0.01211
